,targetId,hasSafetyEvent,maxClinicalTrialPhase,tissueSpecificity,tissueDistribution,uniqueTherapeuticAreas,uniqueDiseases,maxEffectiveSampleSize,earliestPublicationDate,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount
1268,ENSG00000066468,0,1.0,1.0,0.0,7,28,645988.1975077938,2010-05-09,FGFR2,0.722,4.4473,0.55432,18
1269,ENSG00000072062,1,0.25,0.5,-1.0,0,0,0.01,2025-01-01,PRKACA,0.662,3.8454,0.95307,39
1270,ENSG00000073756,1,1.0,0.5,0.0,1,3,191310.84064467996,2023-01-18,PTGS2,0.66999996,3.09,-0.079405,8
1271,ENSG00000073803,0,0.75,-1.0,-1.0,1,1,1129585.974638378,2022-07-14,MAP3K13,0.348,3.5871,1.7488,0
1272,ENSG00000075073,1,0.75,1.0,0.0,0,0,0.01,2025-01-01,TACR2,-0.12600005,0.79674,-0.023439,2
1273,ENSG00000076706,0,0.25,-1.0,-1.0,0,0,0.01,2025-01-01,MCAM,0.13099998,1.4998,0.64205,9
1274,ENSG00000080293,0,1.0,0.5,0.5,1,1,1424218.0900670097,2020-05-06,SCTR,-0.37300003,-0.35899,-0.012836,2
1275,ENSG00000081052,0,1.0,-1.0,0.0,2,7,213982.31715359434,2023-01-18,COL4A4,0.393,2.2347,0.80754,13
1276,ENSG00000081237,1,0.5,0.5,-1.0,10,22,562534.7696387965,2016-07-11,PTPRC,0.657,1.9632,0.77258,3
1277,ENSG00000089009,0,1.0,-1.0,-1.0,5,6,1778690.168860174,2018-03-12,RPL6,0.824,1.2551,0.4145,13
1278,ENSG00000089041,1,0.5,0.5,0.0,1,1,399832.86333511875,2023-01-18,P2RX7,0.041999996,0.96277,-0.24256,5
1279,ENSG00000089558,0,1.0,1.0,0.5,0,0,0.01,2025-01-01,KCNH4,0.5,3.3846,0.85843,1
1280,ENSG00000091136,0,1.0,-1.0,0.0,3,5,160010.51072069994,2020-05-13,LAMB1,0.399,1.1458,0.99841,11
1281,ENSG00000091972,0,0.5,0.5,-1.0,3,5,109446.40450246628,2023-01-18,CD200,0.14999998,1.5288,-0.13412,1
1282,ENSG00000093010,1,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,COMT,-0.12800002,0.73971,0.57311,4
1283,ENSG00000095015,0,0.5,-1.0,-1.0,6,21,895916.2144062951,2010-05-09,MAP3K1,0.645,1.4665,-1.048,5
1284,ENSG00000100299,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,ARSA,-0.16600001,-0.56045,-0.73538,3
1285,ENSG00000100385,0,1.0,0.5,0.0,3,3,295550.4496098593,2010-09-23,IL2RB,0.388,0.5576,0.068051,4
1286,ENSG00000100985,1,0.75,0.75,0.0,3,4,213435.01458839694,2017-01-09,MMP9,-0.20799994,0.33225,-0.34197,9
1287,ENSG00000101188,1,0.75,1.0,0.5,1,2,337665.15408826765,2022-06-25,NTSR1,-0.26100004,-1.3898,-0.17184,2
1288,ENSG00000101336,0,1.0,0.5,0.0,0,0,0.01,2025-01-01,HCK,0.20499998,1.8701,0.58988,9
1289,ENSG00000101470,0,0.75,0.75,0.0,0,0,0.01,2025-01-01,TNNC2,-0.04700005,1.5596,-0.0098424,1
1290,ENSG00000101916,0,0.5,0.5,0.5,0,0,0.01,2025-01-01,TLR8,,,,3
1291,ENSG00000102524,0,1.0,0.5,0.0,0,0,0.01,2025-01-01,TNFSF13B,0.548,1.9155,0.50475,3
1292,ENSG00000103855,0,0.5,-1.0,0.0,1,1,464892.4593283075,2023-01-18,CD276,0.11199999,1.3232,1.2778,0
1293,ENSG00000105383,0,1.0,0.5,0.0,1,1,332375.5317723021,2021-09-07,CD33,-0.07200003,0.97413,0.46451,2
1294,ENSG00000105640,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPL18A,0.856,1.8992,-1.3587,13
1295,ENSG00000105810,1,1.0,0.5,0.0,5,14,756470.9740366563,2018-03-12,CDK6,0.588,3.1383,0.38451,9
1296,ENSG00000107159,0,1.0,1.0,0.5,0,0,0.01,2025-01-01,CA9,-0.021000028,0.50021,0.068795,2
1297,ENSG00000107317,0,1.0,0.5,-1.0,1,1,7794.273577144567,2021-03-01,PTGDS,-0.049999952,0.28116,0.43193,2
1298,ENSG00000107968,0,0.5,1.0,-1.0,3,5,382631.1172224132,2012-11-01,MAP3K8,0.42000002,2.6901,-0.18146,2
1299,ENSG00000108091,0,1.0,-1.0,-1.0,1,1,340825.7076940272,2022-04-04,CCDC6,0.43800002,2.6685,0.12764,0
1300,ENSG00000108107,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPL28,0.283,-0.70767,-1.598,13
1301,ENSG00000111319,0,1.0,0.5,0.0,1,1,135108.48254553688,2025-02-28,SCNN1A,-0.10500002,0.28764,0.59016,2
1302,ENSG00000111537,0,1.0,0.75,0.5,4,6,355284.1215006515,2009-01-04,IFNG,-0.09500003,1.7952,-0.20277,5
